New Name,Feature_Description,Date,MapInfo,Province,FeatureSubTypeID,Previous_Name,MagisterialDistrictID,ProvinceID,fklLanguageID,Disteral,Local Municipality,Sound,District Municipality,fklLocalMunic,Comments,Meaning,Language
Abdulah Mohamed Omar,Interchange,2004-10-01 00:00:00,,KwaZulu-Natal,133.0,E.B. Cloete,,4.0,16.0,ETH,eThekwini Metro,,eThekwini Metro,ETH,E.B. Cloete,,
Abel,Post Office,2005-09-16 00:00:00,"75 km E of Duiwelskloof, -23.4833333333333",Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Tzaneen,,Capricorn,NP333,,,
Akani,Settlement,2005-07-16 00:00:00,30km NW of Mapulaneng,Mpumalanga,105.0,Edinburgh,,5.0,7.0,DC32,Bushbuckridge,,Ehlanzeni,MP325,Edinburgh,,
AMandawe,Post Office,2001-08-14 00:00:00,6 km SW of Scottburgh,KwaZulu-Natal,73.0,,200.0,4.0,11.0,DC21,Umdoni,,Ugu,KZ212,,,IsiZulu
Aspen Lakes,Town,2006-07-27 00:00:00,Situated within the Johannesburg CBD,Gauteng,111.0,,273.0,3.0,2.0,JHB,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo,
Babirwa,Post Office,2000-03-14 00:00:00,5 km W of Rebone,Limpopo,73.0,,345.0,7.0,4.0,DC36,Mogalakwena,,Waterberg,NP367,,,
Badirile,Town,2000-09-22 00:00:00,10 km W of Randfontein,Gauteng,111.0,,,,8.0,,Rand West City,,West Rand,,,,
Bagqozini,Post Office,2000-09-22 00:00:00,22 km SW of Rode,Eastern Cape,73.0,,,1.0,10.0,DC15,Ntabankulu,,Alfred Nzo,EC152,,,
Bakolobeng,Post Office,2001-04-08 00:00:00,32 km N of Delareyville,North West,73.0,,370.0,8.0,8.0,DC38,Tswaing,,Ngaka Modiri Molema,NW382,,,
Bathobatho Stad,Post Office,2006-06-30 00:00:00,60 km S of Mafikeng,North West,73.0,,406.0,8.0,8.0,DC38,Ditsobotla,,Ngaka Modiri Molema,NW384,,,
